City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,isafjordur,66.0755,-23.124,6.54,96,100,17.1,IS,1695099917
1,whitehorse,60.7161,-135.0538,8.9,60,75,6.17,CA,1695099426
2,edinburgh of the seven seas,-37.0676,-12.3116,13.12,81,94,10.13,SH,1695099918
3,robertsport,6.7533,-11.3686,25.19,86,100,2.65,LR,1695099918
4,waitangi,-43.9535,-176.5597,12.12,81,2,3.13,NZ,1695099918
5,port-aux-francais,-49.35,70.2167,3.35,87,96,13.98,TF,1695099918
6,campo gallo,-26.5833,-62.85,13.87,82,0,2.15,AR,1695099919
7,inhambane,-23.865,35.3833,18.99,88,75,1.54,MZ,1695099919
8,bucerias,20.75,-105.3333,26.66,94,40,2.06,MX,1695099919
9,adamstown,-25.066,-130.1015,18.61,62,81,1.44,PN,1695099919
10,vorgashor,67.5833,63.95,4.87,91,100,4.63,RU,1695099920
11,brak,27.5496,14.2714,22.48,55,0,4.2,LY,1695099920
12,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,47,75,6.0,RU,1695099920
13,olonkinbyen,70.9221,-8.7187,3.76,68,68,8.85,SJ,1695099920
14,labrador city,52.9463,-66.9114,9.95,93,100,1.03,CA,1695099921
15,grytviken,-54.2811,-36.5092,-5.65,79,62,5.94,GS,1695099921
16,sisimiut,66.9395,-53.6735,1.33,66,79,2.86,GL,1695099921
17,naliya,23.2667,68.8333,30.86,64,85,7.61,IN,1695099921
18,galliano,29.4422,-90.2992,22.22,88,0,0.0,US,1695099921
19,afaahiti,-17.75,-149.2833,23.93,86,100,7.93,PF,1695099922
20,la passe,45.5549,-0.8967,17.21,82,87,3.49,FR,1695099922
21,flying fish cove,-10.4217,105.6791,26.82,73,75,7.2,CX,1695099922
22,bilibino,68.0546,166.4372,3.56,61,99,0.65,RU,1695099922
23,college,64.8569,-147.8028,6.97,87,75,3.09,US,1695099797
24,punta arenas,-53.15,-70.9167,2.06,55,0,6.69,CL,1695099923
25,avarua,-21.2078,-159.775,22.03,60,100,2.06,CK,1695099923
26,aasiaat,68.7098,-52.8699,-4.89,87,18,1.15,GL,1695099924
27,sungailiat,-1.85,106.1333,30.09,68,75,4.52,ID,1695099924
28,kodiak,57.79,-152.4072,8.73,57,0,6.17,US,1695099924
29,chiredzi,-21.05,31.6667,20.49,77,94,2.64,ZW,1695099739
30,ribeira grande,38.5167,-28.7,22.1,75,100,6.26,PT,1695099925
31,blackmans bay,-43.0167,147.3167,21.07,29,35,7.08,AU,1695099925
32,cochin,9.9399,76.2602,28.99,76,100,1.1,IN,1695099925
33,qalat,32.1058,66.9083,27.01,13,0,0.83,AF,1695099926
34,papatowai,-46.5619,169.4708,12.77,61,53,0.43,NZ,1695099926
35,dimbokro,6.6451,-4.7048,22.06,99,96,0.99,CI,1695099927
36,arraial do cabo,-22.9661,-42.0278,20.95,87,0,11.16,BR,1695099927
37,constantia,44.1833,28.65,13.38,70,0,3.02,RO,1695099927
38,tachov,49.7953,12.6337,15.85,92,100,3.58,CZ,1695099927
39,sitka,57.0531,-135.33,11.94,66,100,8.23,US,1695099928
40,hasaki,35.7333,140.8333,31.22,73,1,9.68,JP,1695099928
41,lata,40.1629,-8.3327,12.26,94,5,1.19,PT,1695099928
42,jackson,42.4165,-122.8345,20.53,54,0,3.09,US,1695099757
43,sandakan,5.8402,118.1179,30.82,74,40,4.12,MY,1695099682
44,tocopilla,-22.092,-70.1979,17.98,73,6,2.56,CL,1695099929
45,kingston,17.997,-76.7936,28.53,78,20,3.6,JM,1695099229
46,st. john's,47.5649,-52.7093,11.65,93,100,1.54,CA,1695099891
47,malindi,-3.2175,40.1191,26.09,78,40,4.12,KE,1695099929
48,lijiang,26.8688,100.2207,21.52,64,99,1.96,CN,1695099929
49,zakamensk,50.3741,103.2863,15.8,47,18,2.29,RU,1695099930
50,bethel,41.3712,-73.414,15.67,88,32,0.45,US,1695099637
51,sayat,38.7839,63.8803,20.93,16,0,4.22,TM,1695099930
52,ust-nera,64.5667,143.2,3.92,61,77,1.99,RU,1695099930
53,west island,-12.1568,96.8225,26.99,74,75,8.75,CC,1695099931
54,bodo,67.28,14.405,11.02,69,0,10.8,NO,1695099931
55,la manga del mar menor,37.6413,-0.7165,24.0,88,0,2.06,ES,1695099931
56,seeb,23.6703,58.1891,31.76,65,85,2.42,OM,1695099931
57,chonchi,-42.6128,-73.8092,0.62,92,9,0.76,CL,1695099931
58,ocean city,39.2776,-74.5746,17.78,84,0,2.24,US,1695099932
59,dunedin,-45.8742,170.5036,13.78,51,26,0.45,NZ,1695099697
60,uturoa,-16.7333,-151.4333,24.89,79,80,9.07,PF,1695099932
61,anadyr,64.75,177.4833,7.28,70,20,3.58,RU,1695099932
62,mount pleasant,32.7941,-79.8626,20.55,94,0,0.0,US,1695099933
63,enewetak,11.3474,162.3373,27.44,82,100,7.76,MH,1695099933
64,bredasdorp,-34.5322,20.0403,9.69,88,100,2.09,ZA,1695099933
65,bandarbeyla,9.4942,50.8122,29.06,54,82,10.77,SO,1695099933
66,talnakh,69.4865,88.3972,2.34,97,100,4.72,RU,1695099933
67,ushuaia,-54.8,-68.3,1.81,64,20,6.17,AR,1695099934
68,susuman,62.7833,148.1667,4.43,74,100,4.38,RU,1695099934
69,chisten'koye,44.8826,34.039,17.39,47,0,2.9,UA,1695099934
70,albany,42.6001,-73.9662,15.23,97,74,2.67,US,1695099934
